intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,SOC
67,7.0,2.4377657773119763,6.0,0.4801286961741198,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.105427357601002e-15,1.6866801719127384
68,7.0,2.4475479452022517,6.0,0.33244771532108786,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,-1.4210854715202004e-14,1.7614809078599831
69,7.0,2.2089452309019997,6.0,0.0,0.0,0.9413312682959392,1.0,0.0,4.542121190129657,1.0,0.0,-1.4210854715202004e-14,1.5
70,7.0,2.2528159550601536,6.0,0.0,-0.0,0.0,-0.0,0.0,4.61646862290484,1.0,0.0,-1.4210854715202004e-14,1.5
71,7.0,2.2475842601900142,6.0,0.0,-0.0,0.0,-0.0,0.0,5.02310614305393,1.0,0.0,0.0,1.5
72,7.0,2.485664187859289,6.0,0.0,-0.0,0.0,-0.0,0.0,4.324134207125994,1.0,0.0,-1.4210854715202004e-14,1.5
73,7.0,2.441856930284186,6.0,0.0,-0.0,0.0,-0.0,0.0,6.310421126125576,1.0,0.0,-1.4210854715202004e-14,1.5
74,7.0,2.842823820391264,6.0,0.0,-0.0,0.0,-0.0,0.0,0.4782370654581385,1.0,0.0,-2.842170943040401e-14,1.5
75,7.0,2.769306509246607,6.0,0.0,-0.0,0.0,-0.0,0.0,3.430602983144297,1.0,0.0,-7.105427357601002e-15,1.5
76,7.0,2.936371543514269,6.0,0.0,-0.0,0.0,-0.0,0.0,0.7400494769996371,1.0,0.0,-7.105427357601002e-15,1.5
77,7.0,3.3018979550442147,0.2231590096072651,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.0,-1.4210854715202004e-14,1.5
78,7.0,3.2326191336404477,-0.10925434667234413,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.0,-2.1316282072803006e-14,1.5
79,7.0,3.2408732745943234,-0.8068801454188801,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,0.0,-7.105427357601002e-15,1.5
80,7.0,3.306,-1.9914531004882647,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,2.1645163149358737,-7.105427357601002e-15,1.5
81,7.0,3.306,-3.7398676903342554,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0121766771265754,5.000000000000249,-7.105427357601002e-15,1.5
82,7.0,3.306,-4.655237038110858,0.0,-0.0,0.0,-0.0,0.0,0.0,6.002283324062617,5.0,0.0,1.5
83,7.0,3.306,-5.079861621270644,0.0,-0.0,0.0,-0.0,0.0,0.0,6.001605107360135,5.000000000000178,0.0,1.5
84,6.468731621250669,3.3060000000000116,-6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,7.001558645360717,5.0,7.105427357601002e-15,1.5
85,6.3297882938455245,3.306000000000016,-6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4.00155546608967,5.0,0.0,1.5
86,5.717265017068883,3.306000000000014,-6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4.001555248538509,5.0,7.105427357601002e-15,1.5
87,4.907585367061358,3.306000000000013,-6.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0015552336515867,5.0,-7.105427357601002e-15,1.5
88,7.0,3.039807408647576,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.3647564561094683,0.0,1.5
89,7.0,3.000927891776719,-6.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,3.475379828453626,-7.105427357601002e-15,1.5
90,7.0,2.9697482706546277,-5.512511888764713,3.0,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,-1.4210854715202004e-14,2.175
91,7.0,2.4221336658053403,0.9985303230105183,1.975323323871583,1.0,0.0,-0.0,0.0,0.0,1.0,0.0,-7.105427357601002e-15,2.619447747871106
92,7.0,2.2068132808188747,2.4087139823239028,0.7664529149696264,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.105427357601002e-15,2.791899653739272
93,7.0,1.778154019834453,6.0,0.0,-0.0,2.755756132491925,1.0,0.0,0.0,0.9999999999999929,0.0,0.0,2.0264118391581816
94,7.0,1.780977137811058,6.0,0.0,-0.0,1.274255759844042,1.0,0.0,0.0,1.0,0.0,0.0,1.67245190586817
95,7.0,1.7066414954264388,6.0,0.0,0.0,0.0,-0.0,0.0,0.6208268611254297,1.0,0.0,0.0,1.67245190586817
96,7.0,1.5623665661646617,6.0,0.0,-0.0,0.6208268611254117,1.0,0.0,2.1989746977240223,1.0,0.0,0.0,1.5
