,Q_CCGT
1066,48.90754986
1067,48.92748909
1068,48.9882134
1069,49.10118078
1070,49.24098924
1071,49.38308978
1072,49.50545717
1073,49.59887753
1074,49.66367989
1075,49.70708231
1076,49.73799193
1077,49.76391038
1078,49.78918811
1079,49.81514226
1080,49.84102158
1081,49.86527986
1082,49.88655733
1083,49.90419433
1084,49.9019798
1085,49.88162803
1086,49.82099601
1087,49.70873765
1088,49.56998395
1089,49.42902037
1090,49.30763473
1091,49.21493698
1092,49.15059449
1093,49.10745857
1094,49.07671029
1095,49.05092265
1096,49.02578779
1097,49
1098,48.9743007
1099,48.95021813
1100,48.92909618
1101,48.91158609
1102,48.80130533
1103,48.6041566
1104,48.18380296
1105,47.46820809
1106,46.60232157
1107,45.72779911
1108,44.9728257
1109,44.39135923
1110,43.98168435
1111,43.70159505
1112,43.4986957
1113,43.32856488
1114,43.16510664
1115,43
1116,42.83714369
1117,42.68523484
1118,42.55200767
1119,42.4411849
1120,42.37004573
1121,42.33370771
1122,42.35257814
1123,42.43555792
1124,42.55252692
1125,42.67547355
1126,42.78002818
1127,42.85621792
1128,42.9045281
1129,42.93278485
1130,42.95043355
1131,42.96522444
1132,42.98141611
1133,43
1134,43.01980896
1135,43.03891765
1136,43.05569277
1137,43.06931948
1138,43.07769037
1139,43.08154731
1140,43.07868648
1141,43.0682395
1142,43.05390259
1143,43.03903226
1144,43.02649114
1145,43.0174031
1146,43.01165252
1147,43.00827154
1148,43.00612388
1149,43.00429302
1150,43.00228636
1151,43
1152,42.99758182
1153,42.99526362
1154,42.99323749
1155,42.99159568
1156,42.9079982
1157,42.74793651
1158,42.39542236
1159,41.78939379
1160,41.05416071
1161,40.31103924
1162,39.6696927
1163,39.17624764
1164,38.829216
1165,38.59251164
1166,38.42136892
1167,38.27786583
1168,38.1397593
1169,38
1170,37.8619734
1171,37.73315188
1172,37.62017116
1173,37.52622843
1174,37.51552332
1175,37.58055035
1176,37.80832618
1177,38.24307085
1178,38.78439907
1179,39.33554308
1180,39.80985489
1181,40.1711349
1182,40.42070205
1183,40.58691289
1184,40.70471301
1185,40.80348765
1186,40.9002248
1187,41
1188,41.0997814
1189,41.19343726
1190,41.27558872
1191,41.34362095
1192,41.32087057
1193,41.21493325
1194,40.92055937
1195,40.3835588
1196,39.72222021
1197,39.05103568
1198,38.47284942
1199,38.03069918
1200,37.72303393
1201,37.5160817
1202,37.36814495
1203,37.24407325
1204,37.12343881
1205,37
1206,36.87720001
1207,36.7622165
1208,36.6613712
1209,36.57772369
1210,36.52430041
1211,36.49731197
1212,36.51194449
1213,36.57475644
1214,36.66301779
1215,36.75564749
1216,36.83434605
1217,36.89165859
1218,36.92799121
1219,36.94925523
1220,36.96256233
1221,36.97373668
1222,36.9859707
1223,37
1224,37.0149405
1225,37.02934246
1226,37.04197925
1227,37.05224149
1228,37.04153574
1229,37.01157246
1230,36.93674917
1231,36.80381341
1232,36.64124158
1233,36.47662939
1234,36.33478895
1235,36.2260945
1236,36.15014992
1237,36.09877057
1238,36.06185317
1239,36.03087471
1240,36.000871
1241,35.97030933
1242,35.94000193
1243,35.91166802
1244,35.88682364
1245,35.86619907
1246,35.84752503
1247,35.83024467
1248,35.81040693
1249,35.78558434
1250,35.75844998
1251,35.73187729
1252,35.7086455
1253,35.68997991
1254,35.67587754
1255,35.66539338
1256,35.65730304
1257,35.65052119
1258,35.64435702
1259,35.63852446
1260,35.63303161
1261,35.62801838
1262,35.62362366
1263,35.61990958
1264,35.62105866
1265,35.62668925
1266,35.64260663
1267,35.67181522
1268,35.70786637
1269,35.74450014
1270,35.77608105
1271,35.80024026
1272,35.81704962
1273,35.82834846
1274,35.83641502
1275,35.84317325
1276,35.8497435
1277,35.85646999
1278,35.86316603
1279,35.8694393
1280,35.87494325
1281,35.87950934
1282,35.92373108
1283,36.00502238
1284,36.18069663
1285,36.48098813
1286,36.84474428
1287,37.21224006
1288,37.52945588
1289,37.77366148
1290,37.94558562
1291,38.06301154
1292,38.14800803
1293,38.21927834
1294,38.28780236
1295,38.35707182
1296,38.42543296
1297,38.48921379
1298,38.54515099
1299,38.59167322
1300,38.64581282
1301,38.70798116
1302,38.80380332
1303,38.94753467
1304,39.11513516
1305,39.28256994
1306,39.42771803
1307,39.5411601
1308,39.62313262
1309,39.68099545
1310,39.72398763
1311,39.76003998
1312,39.79392357
1313,39.82729918
1314,39.85965616
1315,39.88959719
1316,39.91584965
1317,39.93781201
1318,40.00446059
1319,40.11316612
1320,40.33353677
1321,40.70253638
1322,41.14697399
1323,41.595197
1324,41.98228036
1325,42.28088388
1326,42.49188561
1327,42.63670898
1328,42.74196529
1329,42.83023817
1330,42.91482381
1331,43
1332,43.08383687
1333,43.16195855
1334,43.23046671
1335,43.28749001
1336,43.31530831
1337,43.31701556
1338,43.26964769
1339,43.16205882
1340,43.02308453
1341,42.88016048
1342,42.75760188
1343,42.66549783
1344,42.60344471
1345,42.56354614
1346,42.53613893
1347,42.51316516
1348,42.49004575
1349,42.46551347
1350,42.44053218
1351,42.41689491
1352,42.39615495
1353,42.37907548
1354,42.39365757
1355,42.43736063
1356,42.54884654
1357,42.74813978
1358,42.99231502
1359,43.23974574
1360,43.45298545
1361,43.61635351
1362,43.73041518
1363,43.80749012
1364,43.86280127
1365,43.90919595
1366,43.95415866
1367,44
1368,44.0454933
1369,44.08804262
1370,44.12535727
1371,44.15633122
1372,44.2594545
1373,44.43048816
1374,44.78106052
1375,45.37043083
1376,46.08116742
1377,46.79829496
1378,47.41762615
1379,47.89526094
1380,48.23256791
1381,48.46387868
1382,48.63185427
1383,48.77270144
1384,48.90773388
1385,49.04380175
1386,49.17779901
1387,49.30269678
1388,49.41223262
1389,49.50339631
1390,49.57671886
1391,49.63519875
1392,49.68276305
1393,49.72297926
1394,49.75834858
1395,49.79019135
1396,49.81893012
1397,49.84452278
1398,49.86684645
1399,49.88592864
1400,49.90201386
1401,49.91551265
1402,49.92689981
1403,49.93661812
1404,49.94501937
1405,49.95234878
1406,49.95876216
1407,49.96435806
1408,49.96920941
1409,49.97338522
1410,49.97695995
1411,49.98001302
1412,49.98262329
1413,49.98486271
1414,49.98679216
1415,49.98846024
1416,49.98990465
1417,49.99115486
1418,49.99223494
1419,49.9931658
1420,49.9939664
1421,49.99465425
1422,49.99524525
1423,49.99575355
1424,49.99619132
1425,49.99656882
1426,49.99689458
1427,49.9971757
1428,49.99741818
1429,49.99762715
1430,49.99780712
1431,49.99796205
1432,49.9980954
1433,49.99821021
1434,49.99830911
1435,49.99839433
1436,49.99846778
1437,49.99853111
1438,49.99858569
1439,49.99863273
1440,49.99867325
1441,49.99870815
1442,49.99873821
1443,49.9987641
1444,49.99878641
1445,49.99880563
1446,49.99882219
1447,49.99883646
1448,49.99884876
1449,49.99885935
1450,49.99886848
1451,49.99887635
1452,49.99888312
1453,49.99888896
1454,49.99889399
1455,49.99889832
1456,49.99890205
1457,49.99890527
1458,49.99890804
1459,49.99891043
1460,49.99891249
1461,49.99891426
1462,49.99891579
1463,49.9989171
1464,49.99891824
1465,49.99891921
1466,49.99892005
1467,49.99892078
1468,49.9989214
1469,49.99892194
1470,49.99892241
1471,49.9989228
1472,49.99892315
1473,49.99892345
1474,49.9989237
1475,49.99892392
1476,49.99892411
1477,49.99892427
1478,49.99892441
1479,49.99892454
1480,49.99892464
1481,49.99892473
1482,49.99892481
1483,49.99892487
1484,49.99892493
1485,49.99892498
1486,49.99892502
1487,49.99892506
1488,49.99892509
1489,49.99892512
1490,49.99892514
1491,49.99892516
1492,49.99892518
1493,49.9989252
1494,49.99892521
1495,49.99892522
1496,49.99892523
1497,49.99892524
1498,49.99892525
1499,49.99892525
1500,49.99892526
1501,49.99892526
1502,49.99892527
1503,49.99892527
1504,49.99892527
1505,49.99892528
1506,49.99892528
1507,49.99892528
1508,49.99892528
1509,49.99892528
1510,49.99892528
1511,49.99892528
1512,49.99892529
1513,49.99892529
1514,49.99892529
1515,49.99892529
1516,49.99892529
1517,49.99892529
1518,49.99892529
1519,49.99892529
1520,49.99892529
1521,49.99892529
1522,49.99892529
1523,49.99892529
1524,49.99892529
1525,49.99892529
1526,49.99892529
1527,49.99892529
1528,49.99892529
1529,49.99892529
1530,49.99892529
1531,49.99892529
1532,49.99892529
1533,49.99892529
1534,49.99892529
1535,49.99892529
1536,49.99892529
1537,49.99892529
1538,49.99892529
1539,49.99892529
1540,49.99892529
1541,49.99892529
1542,49.99892529
1543,49.99892529
1544,49.99892529
1545,49.99892529
1546,49.99892529
1547,49.99892529
1548,49.99892529
1549,49.99892529
1550,49.99892529
1551,49.99892529
1552,49.99892529
1553,49.99892529
1554,49.99892529
1555,49.99892529
1556,49.99892529
1557,49.99892529
1558,49.99892529
1559,49.99892529
1560,49.99892529
1561,49.99892529
1562,49.99892529
1563,49.99892529
1564,49.99892529
1565,49.99892529
1566,49.99892529
1567,49.99892529
1568,49.99892529
1569,49.99892529
1570,49.99892529
1571,49.99892529
1572,49.99892529
1573,49.99892529
1574,49.99892529
1575,49.99892529
1576,49.99892529
1577,49.99892529
1578,49.99892529
1579,49.99892529
1580,49.99892529
1581,49.99892529
1582,49.99892529
1583,49.99892529
1584,49.99892529
1585,49.99892529
1586,49.99892529
1587,49.99892529
1588,49.9824249
1589,49.95053961
1590,49.8800433
1591,49.75871538
1592,49.61148028
1593,49.46265617
1594,49.33422134
1595,49.23541842
1596,49.16594737
1597,49.11857538
1598,49.08433151
1599,49.05561735
1600,49.02797714
1601,49
1602,48.97236585
1603,48.94657315
1604,48.92395226
1605,48.90514417
1606,48.82700825
1607,48.6931789
1608,48.41410707
1609,47.94236257
1610,47.37263875
1611,46.79756129
1612,46.30100554
1613,45.91829188
1614,45.64830276
1615,45.46340414
1616,45.32927599
1617,45.21680635
1618,45.10887496
1619,45
1620,44.89270589
1621,44.79266632
1622,44.70493146
1623,44.63192993
1624,44.46941775
1625,44.2220045
1626,43.74039506
1627,42.94483129
1628,41.99013055
1629,41.02824549
1630,40.19712807
1631,39.55497011
1632,39.0999853
1633,38.78664432
1634,38.5583066
