intervals,P_FC,g_CCGT,P_GRID,P_c,u_c,P_d,u_d,P_wcur,P_cur,Q_GB,Q_HP,Q_cur,Q_CCGT,SOC
84,7.0,3.3060000000000005,-6.0,0.5312683787491537,1.0,0.0,0.0,0.0,0.0,7.0000559999999865,5.0,0.0,49.99994400000001,2.1562224271461696
85,7.0,3.3060000000000005,-6.0,0.6702117061542268,1.0,0.0,0.0,0.0,0.0,4.0000559999999865,5.0,0.0,49.99994400000001,2.3070200610308707
86,7.0,3.3060000000000005,-6.0,1.2827349829309043,1.0,0.0,0.0,0.0,0.0,4.0000559999999865,5.0,0.0,49.99994400000001,2.595635432190324
87,7.0,3.3059999999999996,-6.0,2.0924146329384357,1.0,0.0,0.0,0.0,0.0,1.0000560000000007,5.0,0.0,49.999944,3.0664287246014723
88,7.0,3.0473965493608643,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.9111745874662804,3.9968028886505635e-15,46.088825412533716,3.0664287246014723
89,7.0,3.0025185755873256,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.5899090628172803,3.9968028886505635e-15,45.410090937182716,3.0664287246014723
90,7.0,2.8409573939177717,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0333603743876076,4.884981308350689e-15,42.96663962561239,3.0664287246014723
91,7.0,2.5125628140703515,-2.423659373101245,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,3.0664287246014723
92,7.0,2.2480825178524197,0.9819532748175561,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,3.0664287246014723
93,7.0,1.851362073525522,6.0,0.0,0.0,1.5844272734348195,1.0,0.0,0.0,1.0,0.0,0.0,28.0,2.6263100375362445
94,7.0,1.7852419994710391,6.0,0.0,0.0,1.2060179732843466,1.0,0.0,-3.552713678800501e-15,1.0,0.0,0.0,27.0,2.291305044957259
95,7.0,1.7191219254165564,6.0,0.0,0.0,0.42113998128355234,1.0,0.0,-4.440892098500626e-15,1.0,-3.552713678800501e-15,0.0,26.000000000000004,2.174321716822939
96,7.0,1.5868817773075903,6.0,0.0,0.0,2.427558180562581,1.0,0.0,-3.552713678800501e-15,1.0,0.0,0.0,24.0,1.5
